PEDON_ID,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,CaO,Na2O,MgO,K2O,Fe2O3_mol,MnO_mol,P2O5_mol,SiO2_mol,TiO2_mol,ZrO2_mol,Al2O3_mol,CaO_mol,Na2O_mol,MgO_mol,K2O_mol,lCaO,cl_MAP,cl_MAT,Till,SubglacialTill,lCaO_mol,PRESS,factor1,factor2,factor3,factor4
05N0110,9.08,0.07,0.1,62.55,1.15,0.01,11.68,0.54,0.8,0.8,2,0.57,0.01,0,10.41,0.14,0,1.15,0.1,0.13,0.2,0.21,-0.616186139,1280.9,8.125,,,-2.302585093,-8.838133423,0.787812637,0.387912916,0.658630766,0.198166224
05N0111,6.1,0.08,0.09,65.93,0.91,0.02,12.19,0.69,1.17,0.77,1.92,0.38,0.01,0,10.97,0.11,0,1.2,0.12,0.19,0.19,0.2,-0.371063681,1305.09,8.28,,,-2.120263536,253.1693429,0.078582444,0.153810916,0.522379678,-0.131802988
05N0112,5.55,0.09,0.2,68.49,0.9,0.02,13.16,2.81,2.28,1.76,2.06,0.35,0.01,0.01,11.4,0.11,0,1.29,0.5,0.37,0.44,0.22,1.033184483,297.86,10.145,,,-0.693147181,-502.2763919,-0.569258682,-1.462961059,0.532479735,0.259710813
05N0254,5.98,0.01,0.03,63.69,0.62,0.01,16.3,0.05,0.05,0.17,1.3,0.37,0,0,10.6,0.08,0,1.6,0.01,0.01,0.04,0.14,-2.995732274,1316.76,13.63,,,-4.605170186,168.1373843,0.889197722,1.343773521,-0.234644435,-1.336584191
05N0370,4.21,0.1,0.18,70.58,0.33,0.01,8.36,3.86,1.29,1.44,1.78,0.26,0.01,0.01,11.75,0.04,0,0.82,0.69,0.21,0.36,0.19,1.350667183,460.15,3.315,,,-0.371063681,-226.8613275,-0.995646941,-0.39382116,-0.189325514,0.104645558
05N0371,3.37,0.07,0.12,69.55,0.4,0.01,9.69,3.28,1.11,1.63,1.71,0.21,0.01,0,11.58,0.05,0,0.95,0.58,0.18,0.41,0.18,1.187843422,464.49,3.12,,,-0.544727175,-320.9597803,-0.864232286,0.279748213,-0.080969491,0.082958699
05N0375,3.93,0.11,0.09,73.47,0.51,0.02,10.66,1.04,1.26,1.38,1.95,0.25,0.02,0,12.23,0.06,0,1.05,0.19,0.2,0.34,0.21,0.039220713,527.95,5.8,,,-1.660731207,-272.6713806,-0.753003311,-0.18856062,0.442768066,-0.27562166
05N0376,2.48,0.08,0.13,52.11,0.31,0.01,7.07,15,0.8,2.55,1.33,0.16,0.01,0,8.67,0.04,0,0.69,2.67,0.13,0.63,0.14,2.708050201,519.86,5.605,,,0.982078472,-32.51937176,-0.974576288,0.432601111,-2.485718685,0.71088631
05N0548,6.83,0.07,0.09,57.2,0.8,0.02,17.94,1.03,0.69,1.26,2.08,0.43,0.01,0,9.52,0.1,0,1.76,0.18,0.11,0.31,0.22,0.029558802,448.52,15.33,,,-1.714798428,-625.2476975,0.752345323,0.002000794,-0.016559383,-0.881422481
05N0549,4.56,0.06,0.07,59.15,0.55,0.03,8.25,0.95,1.55,0.38,2.44,0.29,0.01,0,9.85,0.07,0,0.81,0.17,0.25,0.09,0.26,-0.051293294,448.97,15.33,,,-1.771956842,-370.1747642,-0.908609991,-0.263095625,0.49248987,0.336682402
05N0550,5.43,0.12,0.24,64.41,0.89,0.03,13.08,1.86,1.78,1.36,3.23,0.34,0.02,0.01,10.72,0.11,0,1.28,0.33,0.29,0.34,0.34,0.620576488,412.39,13.9,,,-1.108662625,-298.1385653,-0.702874614,-1.891037108,0.672970721,-0.146761961
05N0551,6.45,0.13,0.13,60.88,0.81,0.02,16.24,1.64,1.41,1.44,2.61,0.4,0.02,0,10.13,0.1,0,1.59,0.29,0.23,0.36,0.28,0.494696242,419.52,13.745,,,-1.237874356,-458.0393213,-0.028003564,-1.016885191,0.393520743,-0.546307248
05N0552,10.11,0.2,0.19,57.99,1.72,0.03,14.69,1.59,0.79,2.25,1.4,0.63,0.03,0.01,9.65,0.21,0,1.44,0.28,0.13,0.56,0.15,0.463734016,481.93,13.705,,,-1.272965676,-992.8652558,2.084611437,-0.678387245,0.243436401,0.2337976
05N0581,4.64,0.06,0.12,69.86,0.71,0.03,10.54,0.57,0.64,0.79,1.93,0.29,0.01,0,11.63,0.09,0,1.03,0.1,0.1,0.19,0.2,-0.562118918,1201.76,13.91,,,-2.302585093,194.3842374,-0.158626717,0.687169556,0.364832727,-0.276773276
05N0582,3.88,0.09,0.12,75.39,0.74,0.03,9.28,0.5,0.9,0.75,2.04,0.24,0.01,0,12.55,0.09,0,0.91,0.09,0.15,0.19,0.22,-0.693147181,1201.76,13.91,,,-2.407945609,283.4801621,-0.665055399,0.481559631,0.674358911,-0.110213419
05N0583,4.25,0.08,0.13,73.29,0.75,0.03,9.74,0.31,0.74,0.75,1.99,0.27,0.01,0,12.2,0.09,0,0.96,0.05,0.12,0.19,0.21,-1.171182982,1201.76,13.91,,,-2.995732274,226.2310265,-0.399163234,0.620849121,0.573207361,-0.189154623
05N0584,4.25,0.1,0.11,74.63,0.74,0.03,10.34,0.62,0.76,0.83,2.13,0.27,0.01,0,12.42,0.09,0,1.01,0.11,0.12,0.21,0.23,-0.478035801,1201.76,13.91,,,-2.207274913,263.7214144,-0.495582605,0.502518595,0.600575347,-0.268960802
05N0585,3.95,0.07,0.12,76.44,0.75,0.03,10.09,0.43,0.69,0.73,2.12,0.25,0.01,0,12.72,0.09,0,0.99,0.08,0.11,0.18,0.23,-0.84397007,1201.76,13.91,,,-2.525728644,272.2743707,-0.545002183,0.592263017,0.632811764,-0.352226342
05N0586,3.85,0.08,0.12,78.08,0.74,0.03,9.54,0.46,0.74,0.7,2.06,0.24,0.01,0,13,0.09,0,0.94,0.08,0.12,0.17,0.22,-0.776528789,1201.76,13.91,,,-2.525728644,275.6541464,-0.611172556,0.63629528,0.67287117,-0.304300578
05N0587,2.88,0.09,0.11,87.73,0.71,0.03,7.7,0.44,0.84,0.53,1.89,0.18,0.01,0,14.6,0.09,0,0.76,0.08,0.14,0.13,0.2,-0.820980552,1201.76,13.91,,,-2.525728644,321.2717407,-0.991300914,0.832909463,0.899010143,-0.255348633
05N0588,3.39,0.1,0.13,91.99,0.72,0.03,8.72,0.52,0.95,0.67,2.02,0.21,0.01,0,15.31,0.09,0,0.86,0.09,0.15,0.17,0.21,-0.653926467,1201.76,13.91,,,-2.407945609,336.5225586,-1.030122851,0.700825931,1.048799128,-0.3849306
05N0589,4.7,0.06,0.11,72.55,0.79,0.03,9.57,0.41,1.03,0.75,2.09,0.29,0.01,0,12.08,0.1,0,0.94,0.07,0.17,0.19,0.22,-0.891598119,1201.76,13.91,,,-2.659260037,230.7014557,-0.482181952,0.355018068,0.731263995,0.023341472
05N0665,2.51,0.07,0.11,35.3,0.35,0.01,7.15,18,0.89,8.94,1.54,0.16,0.01,0,5.88,0.04,0,0.7,3.21,0.14,2.22,0.16,2.890371758,307.8,11.5,,,1.166270937,-392.4155055,-1.041309113,-0.454273464,-2.828879072,3.594260209
05N0666,4.57,0.09,0.14,64.89,0.6,0.01,10.78,2.59,2.26,0.89,2.84,0.29,0.01,0.01,10.8,0.07,0,1.06,0.46,0.36,0.22,0.3,0.951657876,380.24,8.965,,,-0.776528789,-202.773568,-1.321047203,-1.657724265,0.507020733,0.097337127
05N0669,4.9,0.12,0.22,63.18,0.65,0.02,12.33,2.62,1.21,2.26,3.75,0.31,0.02,0.01,10.52,0.08,0,1.21,0.47,0.2,0.56,0.4,0.963174318,327.78,9.205,,,-0.755022584,-291.2341919,-1.049112926,-1.845901067,0.464995053,-0.009932902
05N0671,3.82,0.07,0.12,53.89,0.48,0.01,9.7,13.12,1.89,2.19,2.03,0.24,0.01,0,8.97,0.06,0,0.95,2.34,0.31,0.54,0.22,2.574137784,303.16,11.035,,,0.850150929,-166.3910771,-1.336178277,-0.82275593,-1.526688471,0.690749412
05N0672,3.35,0.05,0.08,51.14,0.42,0.01,9.64,15.47,1.54,1.95,2.24,0.21,0.01,0,8.51,0.05,0,0.95,2.76,0.25,0.48,0.24,2.738902665,282.69,8.38,,,1.01523068,-87.08598361,-1.404644829,-0.677451417,-2.108266315,0.386305802
05N0877,4.13,0.07,0.27,65.27,0.8,0.02,10.68,0.99,1.69,0.78,1.79,0.26,0.01,0.01,10.86,0.1,0,1.05,0.18,0.27,0.19,0.19,-0.010050336,1202.3,9.575,,,-1.714798428,341.0625812,-0.399359831,-0.638376364,0.33529185,0.006234216
05N0882,3.62,0.07,0.09,71.76,0.79,0.03,10.92,1.29,1.86,0.7,2.21,0.23,0.01,0,11.94,0.1,0,1.07,0.23,0.3,0.17,0.23,0.254642218,1253.17,10.325,,,-1.46967597,449.1953507,-0.925662103,-0.365382204,0.761100478,-0.004119644
