cl_MAP,cl_MAT,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,Na2O,MgO,K2O,lCaO,factor1,factor2,factor3,factor4
1253.17,10.325,3.623534537,0.066627468,0.093716624,71.75572193,0.793160967,0.026745914,10.91535991,1.860897695,0.69800995,2.206481147,0.2560011125,-0.807227151,1.1312741655,0.3160127791,-0.560003195
836.13,10.21,3.605805054,0.102136293,0.072865248,69.0631016,0.572310259,0.003241929,12.63536747,3.098935166,1.342454395,1.179375979,1.0259929219,-1.658167114,0.4395408535,-0.522545012,1.2749973489
2282.95,26.83,10.11724357,0.240814395,0.142522592,57.89112299,1.000667223,0.01431852,16.64254676,1.274160938,5.480099502,1.077701482,0.3325446122,1.1072153176,0.2539399557,-0.715711951,2.0578035254
1198.38,17.655,6.531026737,0.052811307,0.181246576,43.81989305,1.295913261,0.015534243,21.44681655,0.144493867,0.786567164,0.946512468,-1.017568562,2.1252422478,-1.496600922,-1.493944148,-0.472198816
1197.71,17.635,8.862739684,0.191231163,0.21424216,40.54181818,1.392827356,0.011616912,24.08388438,0.157703195,0.812935323,1.177207565,-1.614772008,2.7743900623,-0.940181679,-1.901066965,-0.242863964
1200.82,17.615,6.141835993,0.034992333,0.173685088,39.50737968,1.316597164,0.008104822,20.68883431,0.099069956,0.654726368,1.014335622,-1.531756404,1.9913370156,-1.899304056,-1.341274659,0.1435900448
223.62,10.155,3.819940032,0.062485202,0.208483972,42.42392513,0.448316931,0.010976631,11.3216758,0.437619625,5.152303483,2.378878448,2.6369387291,-1.014159063,-0.978426647,-1.983763952,1.1121204329
1361.84,17.905,5.105519128,0.065465361,0.048805968,69.47743316,0.738115096,0.026340673,12.25354241,0.501684863,1.574129353,1.838935068,-1.039495833,0.3303990139,-0.073707598,0.6351349351,-0.438553349
421.27,5.915,2.846010929,0.090773469,0.106319104,66.85518717,0.471893244,0.017290288,11.48157944,1.477692411,1.469485904,1.795446332,1.5338534958,-1.183793221,0.000390731,-0.983869322,-0.52059621
419.52,13.745,6.450100226,0.130285107,0.126483072,60.87508021,0.813678065,0.022558422,16.24447383,1.407736892,1.443781095,2.609083243,0.4966985858,-0.067541743,1.0689612645,-0.788580847,-0.427721141
1174.51,17.525,5.168430196,0.055652013,0.19591128,39.37433155,1.318265221,0.015399163,24.96315889,0.079525543,0.743117745,0.928321889,-1.236171703,2.3607775062,-1.598307946,-1.907311829,-0.710209287
1197.79,17.635,4.849728444,0.031118643,0.194994736,44.36534759,1.256713928,0.01431852,22.57944455,0.159859819,0.72039801,0.90639682,-1.150325664,1.953563441,-1.631860808,-1.547813107,-0.575605881
1200.26,17.68,7.508435966,0.114015609,0.20965944,43.38053476,1.306588824,0.010401189,22.61005101,0.253538213,0.964676617,1.3279123,-1.09567666,2.0754560489,-1.106014692,-1.733083654,-0.153558699
382.63,7.265,3.260795038,0.056426751,0.141147776,66.38395722,0.422185154,0.016209645,9.439448328,1.409758728,2.206799337,1.8225515,2.2135327663,-1.492629471,-0.186247592,-1.04570659,-0.181408641
1346.54,18,7.027881194,0.08134749,0.102652928,54.61754011,0.840200167,0.023503985,17.9461553,0.390618682,3.448424544,2.605107818,-0.781037108,0.7800183612,0.2976830657,-0.11857104,0.4737096061
448.97,15.33,4.559908592,0.057459735,0.074698336,59.15294118,0.55029191,0.025665271,8.247307765,1.554252595,0.382752902,2.442235875,-0.048916169,-0.77988766,0.7210529479,0.2786976716,-0.289987258
481.93,13.705,10.10809287,0.202593987,0.186058432,57.98737968,1.717097581,0.026880994,14.68543359,0.789459496,2.249087894,1.399469943,0.4651971924,1.9263079306,0.4437471842,-0.880195485,-0.148662589
241.31,11.675,2.164565389,0.032136132,0.080167812,59.7044107,0.326662219,0.01872349,7.343891933,0.698393314,1.197038143,1.625076497,2.1899818676,-1.280935325,-1.170236396,-1.301250648,-0.982751135
428.25,10.05,3.889637934,0.058519701,0.120910931,75.73921189,0.609052721,0.015772569,11.07119295,1.289464691,1.228290476,2.46074485,0.7240170041,-1.269938091,0.4371775516,-0.135949254,-0.379496862
427.16,10.045,3.907265883,0.057895183,0.111851173,73.90719067,0.617140827,0.01933141,10.25754525,1.165595931,0.802810743,2.342163822,-0.177131163,-0.889586908,0.4311275227,0.3430155882,-0.438633973
