PEDON_ID,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,CaO,Na2O,MgO,K2O,Fe2O3_mol,MnO_mol,P2O5_mol,SiO2_mol,TiO2_mol,ZrO2_mol,Al2O3_mol,CaO_mol,Na2O_mol,MgO_mol,K2O_mol,lCaO,cl_MAP,cl_MAT,Till,SubglacialTill,lCaO_mol,PRESS,factor1,factor2,factor3,factor4
97P0465,4.87,0.08,0.20,69.90,0.73,0.02,13.60,5.79,1.26,2.59,3.16,0.31,0.01,0.01,11.64,0.09,,1.33,1.03,0.20,0.64,0.34,1.76,306.7,10.385,,,0.0295588022,-355.2698662,-1.070769451,0.8743237899,-0.532784491,0.0018716697
97P0466,3.03,0.05,0.14,73.00,0.54,0.02,10.59,3.30,1.81,1.36,2.71,0.19,0.01,0.01,12.15,0.07,,1.04,0.59,0.29,0.34,0.29,1.19,273.48,10.62,,,-0.527632742,-328.0944515,-1.556193447,0.9354802831,-0.112467244,0.0657197571
97P0471,3.43,0.05,0.13,74.87,0.56,0.02,11.29,3.35,1.67,1.47,2.77,0.21,0.01,,12.46,0.07,,1.11,0.60,0.27,0.36,0.29,1.21,269.4,10.645,,,-0.510825624,-340.6473124,-1.44869951,0.8824413464,-0.148659708,-0.10403373
98P0147,4.95,0.04,0.04,71.84,1.00,0.03,11.56,0.12,0.41,0.78,2.57,0.31,0.01,,11.96,0.12,,1.13,0.02,0.07,0.19,0.27,-2.12,1314.86,9.595,,,-3.912023005,282.41673276,-0.152609984,0.1618781789,0.9094845964,-0.312040603
98P0148,4.44,0.08,0.06,71.38,1.21,0.04,12.02,0.14,0.20,0.55,2.27,0.28,0.01,,11.88,0.15,,1.18,0.02,0.03,0.14,0.24,-1.97,1325.28,9.065,,,-3.912023005,180.94161854,0.2669659043,-0.203769978,1.1094587783,-0.433881885
98P0149,4.86,0.03,0.05,63.74,1.12,0.03,12.88,0.07,0.17,0.59,2.37,0.30,,,10.61,0.14,,1.26,0.01,0.03,0.15,0.25,-2.66,1325.28,9.065,,,-4.605170186,207.20762441,0.4623056359,-0.132935625,0.6145636274,-0.616747345
98P0150,4.13,0.13,0.06,70.79,1.22,0.03,13.71,0.13,0.56,0.86,2.61,0.26,0.02,,11.78,0.15,,1.34,0.02,0.09,0.21,0.28,-2.04,1308.47,9.775,,,-3.912023005,291.71914267,0.1412489411,0.4623403456,0.4115018183,-0.763078767
98P0151,5.63,0.04,0.06,65.57,1.00,0.03,12.89,0.04,0.58,1.01,2.60,0.35,0.01,,10.91,0.12,,1.26,0.01,0.09,0.25,0.28,-3.22,1308.47,9.775,,,-4.605170186,270.39214359,0.0317534493,0.369136976,0.5655246998,-0.332379215
98P0152,2.70,0.01,0.04,75.71,1.10,0.03,8.92,0.05,0.33,0.41,1.31,0.17,,,12.60,0.14,,0.88,0.01,0.05,0.10,0.14,-3.00,1339.64,9.205,,,-4.605170186,179.22868531,0.1837058921,-0.775392362,1.3463399101,-0.139252919
98P0153,4.59,0.03,0.05,74.83,1.06,0.03,12.86,0.06,0.29,0.72,1.91,0.29,,,12.45,0.13,,1.26,0.01,0.05,0.18,0.20,-2.81,1348.31,9.235,,,-4.605170186,233.83170293,0.3339300185,-0.219040733,0.9050921121,-0.708354501
98P0160,4.42,0.07,0.11,77.63,0.64,0.02,10.38,0.65,1.17,0.83,2.09,0.28,0.01,,12.92,0.08,,1.02,0.12,0.19,0.21,0.22,-0.43,382.58,5.565,,,-2.120263536,-494.7393918,-0.747649323,0.3728215029,0.7046700364,-0.150155011
98P0162,2.95,0.04,0.09,48.95,0.38,0.02,9.60,13.07,0.28,2.56,2.84,0.19,0.01,,8.15,0.05,,0.94,2.33,0.04,0.64,0.30,2.57,386.07,6.14,,,0.8458682676,-116.5221149,-1.066279171,-1.332564239,-1.51460471,0.312897099
98P0165,1.38,0.03,0.08,34.95,0.22,0.01,4.27,13.39,0.16,3.33,1.12,0.09,,,5.82,0.03,,0.42,2.39,0.03,0.83,0.12,2.59,386.02,6.165,,,0.8712933659,-289.1573451,-0.593041888,-2.622732568,-1.560514917,1.5720164421
98P0166,3.41,0.06,0.10,74.00,0.56,0.02,11.08,0.87,1.10,1.19,2.58,0.21,0.01,,12.32,0.07,,1.09,0.16,0.18,0.29,0.27,-0.14,387.97,6.21,,,-1.832581464,-375.6765838,-1.042364468,0.5177695624,0.4118958724,-0.239187016
98P0362,2.70,0.01,0.02,73.67,1.05,0.02,5.53,0.09,0.05,0.19,0.39,0.17,,,12.26,0.13,,0.54,0.02,0.01,0.05,0.04,-2.41,1457.46,14.36,,,-3.912023005,155.03660714,0.4826303651,-1.668555966,1.7616057453,0.3884329259
98P0552,3.00,0.04,0.06,75.28,0.48,0.02,3.97,0.26,0.63,0.47,1.71,0.19,0.01,,12.53,0.06,,0.39,0.05,0.10,0.12,0.18,-1.35,735.58,16.83,,,-2.995732274,-205.7408488,-0.991844884,-0.593751888,1.3971422768,0.6956507013
98P0553,4.42,0.11,0.18,68.46,0.71,0.02,6.58,0.82,0.68,1.17,2.46,0.28,0.02,0.01,11.39,0.09,,0.65,0.15,0.11,0.29,0.26,-0.20,707.5,16.65,,,-1.897119985,-234.8071809,-0.630275911,0.1790672888,0.6338352804,0.5533546472
98P0554,4.34,0.07,0.08,69.95,0.70,0.03,7.61,1.34,0.75,1.14,2.33,0.27,0.01,,11.64,0.09,,0.75,0.24,0.12,0.28,0.25,0.29,712.08,16.74,,,-1.427116356,-218.2380092,-0.721877405,0.036170788,0.7780384748,0.4965600409
98P0555,2.08,0.04,0.07,77.85,0.46,0.02,6.24,2.14,0.94,0.67,1.99,0.13,0.01,,12.96,0.06,,0.61,0.38,0.15,0.17,0.21,0.76,683.4,16.68,,,-0.967584026,-83.48929189,-1.335101211,-0.32143433,0.8796167142,0.2914801604
98P0556,5.00,0.06,0.10,61.19,0.73,0.03,4.95,0.72,0.71,0.76,2.12,0.31,0.01,,10.19,0.09,,0.49,0.13,0.12,0.19,0.22,-0.33,616.77,17.18,,,-2.040220829,-417.1551894,-0.483976198,-0.214379596,0.8771733222,1.0143885733
98P0557,3.70,0.04,0.09,61.72,0.59,0.02,10.84,6.76,0.50,1.04,2.07,0.23,0.01,,10.27,0.07,,1.06,1.20,0.08,0.26,0.22,1.91,610.03,17.295,,,0.1823215568,-146.089231,-0.512076956,-0.942994,-0.313052075,-0.354475681
99P0224,2.61,0.07,0.09,68.01,0.63,0.02,6.60,0.48,1.11,0.64,2.19,0.16,0.01,,11.32,0.08,,0.65,0.09,0.18,0.16,0.23,-0.73,860.2,15.705,,,-2.407945609,11.234550656,-1.037175264,0.0768498341,0.7461564957,0.5052151526
99P0229,3.03,0.07,0.14,65.84,0.75,0.03,5.17,0.38,1.12,0.46,2.23,0.19,0.01,,10.96,0.09,,0.51,0.07,0.18,0.11,0.24,-0.97,811,4.525,,,-2.659260037,-81.48932741,-1.001356891,0.1093724919,0.848143362,0.7892132849
99P0277,3.08,0.07,0.10,82.21,0.51,0.01,8.97,0.78,1.36,0.76,1.77,0.19,0.01,,13.68,0.06,,0.88,0.14,0.22,0.19,0.19,-0.25,411.08,5.705,,,-1.966112856,-377.3913138,-1.16864696,0.222145566,0.8123298124,-0.068566281
99P0279,2.78,0.06,0.05,76.61,0.63,0.02,9.52,0.39,0.57,0.62,1.81,0.17,0.01,,12.75,0.08,,0.93,0.07,0.09,0.15,0.19,-0.94,411.08,5.705,,,-2.659260037,-520.1780573,-0.596078704,-0.434229151,1.0621698438,-0.280148054
99P0560,4.02,0.05,0.07,61.53,0.65,0.01,8.56,1.01,1.85,0.84,1.45,0.25,0.01,,10.24,0.08,,0.84,0.18,0.30,0.21,0.15,0.01,1231.54,8.615,,,-1.714798428,336.06673511,-0.579211468,0.2901516077,0.1620248098,0.5465983708
99P0612,2.69,0.06,0.16,63.56,0.44,0.02,8.62,3.23,1.37,1.09,2.48,0.17,0.01,0.01,10.58,0.05,,0.85,0.58,0.22,0.27,0.26,1.17,347.37,9.285,,,-0.544727175,-303.8157685,-1.349489756,0.2101480586,-0.073637925,0.2369155818
99P0613,3.13,0.04,0.17,62.22,0.43,0.02,11.06,7.43,1.17,0.91,2.77,0.20,0.01,0.01,10.36,0.05,,1.08,1.32,0.19,0.23,0.29,2.01,347.37,9.285,,,0.2776317366,-169.0975585,-1.313658019,-0.135568068,-0.765388792,-0.401183345
99P0614,3.01,0.06,0.12,69.71,0.49,0.02,6.60,0.95,1.52,0.82,2.81,0.19,0.01,,11.60,0.06,,0.65,0.17,0.25,0.20,0.30,-0.05,347.37,9.285,,,-1.771956842,-328.7910451,-1.648612745,0.7994287281,0.3941312573,0.5652497223
99P0615,2.77,0.05,0.11,72.03,0.46,0.02,6.41,0.87,1.85,0.75,2.99,0.17,0.01,,11.99,0.06,,0.63,0.16,0.30,0.19,0.32,-0.14,347.37,9.285,,,-1.832581464,-257.5334231,-1.95402565,1.1542345996,0.3301101075,0.6164289716
99P0616,3.07,0.07,0.11,70.70,0.48,0.02,7.58,0.87,1.33,1.25,2.90,0.19,0.01,,11.77,0.06,,0.74,0.16,0.21,0.31,0.31,-0.14,347.37,9.285,,,-1.832581464,-347.5869199,-1.565739707,0.7511221988,0.4270033692,0.4991765631
Ngira20,21.59,0.20,0.07,47.26,0.83,0.02,15.93,0.97,0.44,1.34,0.06,1.35,0.03,0.00,7.87,0.10,0.00,1.56,0.17,0.07,0.33,0.01,-0.03,,,0,0,-1.754653357,-1118.717764,3.403315662,0.7388899912,1.0548185196,1.4705099213
